eval_step,eval/correct_length,eval/incorrect_length,eval/reward_total
0,353.5422535211270,1019.2861259777700,0.0284
100,356.994983277592,707.7953203089510,0.1196
591,398.6470588235290,716.9605585497310,0.1836
1296,417.1033243486070,705.5551839464880,0.2226
2350,430.46515533165400,672.8647939091630,0.2382
3325,423.31635802469100,681.2332613390930,0.2592
