train_step,train/train_norm
256,0.04443359375
512,0.31640625
768,0.11083984375
1024,0.1572265625
1280,0.1787109375
1536,0.1142578125
1792,0.130859375
2048,0.15234375
2304,0.1337890625
2560,0.150390625
2816,0.08251953125
3072,0.1484375
3328,0.12109375
3584,0.1357421875
3840,0.1513671875
4096,0.1240234375
4352,0.158203125
4608,0.1845703125
4864,0.123046875
5120,0.173828125
5376,0.1513671875
5632,0.1337890625
5888,0.1328125
6144,0.13671875
6400,0.1669921875
6656,0.1279296875
6912,0.1357421875
7168,0.162109375
7424,0.2216796875
7680,0.162109375
7936,0.203125
8192,0.1728515625
8448,0.25
8704,0.185546875
8960,0.2021484375
9216,0.18359375
9472,0.21484375
9728,0.234375
9984,0.251953125
10240,0.19921875
10496,0.2119140625
10752,0.2138671875
11008,0.185546875
11264,0.21875
11520,0.2265625
11776,0.20703125
12032,0.193359375
12288,0.1953125
12544,0.2197265625
12800,0.169921875
13056,0.1787109375
13312,0.248046875
13568,0.2490234375
13824,0.19921875
14080,0.2138671875
14336,0.2236328125
14592,0.23046875
14848,0.27734375
15104,0.271484375
15360,0.22265625
15616,0.234375
15872,0.2470703125
16128,0.251953125
16384,0.3125
16640,0.263671875
16896,0.29296875
17152,0.298828125
17408,0.275390625
17664,0.25390625
17920,0.263671875
18176,0.310546875
18432,0.26953125
18688,0.27734375
18944,0.349609375
19200,0.345703125
19456,0.41015625
19712,0.3125
19968,0.306640625
20224,0.32421875
20480,0.3359375
20736,0.44921875
20992,0.419921875
21248,0.3828125
21504,0.30859375
21760,0.361328125
22016,0.35546875
22272,0.330078125
22528,0.345703125
22784,0.298828125
23040,0.345703125
23296,0.400390625
23552,0.314453125
23808,0.283203125
24064,0.302734375
24320,0.279296875
24576,0.2314453125
24832,0.365234375
25088,0.314453125
25344,0.3515625
25600,0.291015625
